Subscription,Subscription Name,Resource Group,Location,Type,Service Name,Compliant,Impact,Category,Recommendation,Result,Learn,RId
f2e4cd19-7c93-4a22-a9b3-df34a6e7c0af,Boss Labs,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,false,Low,Governance,Storage Name should comply with naming conventions,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations,st-006
f2e4cd19-7c93-4a22-a9b3-df34a6e7c0af,Boss Labs,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,false,Low,Monitoring and Alerting,Storage should have diagnostic settings enabled,,https://learn.microsoft.com/en-us/azure/storage/blobs/monitor-blob-storage,st-001
f2e4cd19-7c93-4a22-a9b3-df34a6e7c0af,Boss Labs,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,false,High,High Availability,Storage should have availability zones enabled,,https://learn.microsoft.com/EN-US/azure/reliability/migrate-storage,st-002
f2e4cd19-7c93-4a22-a9b3-df34a6e7c0af,Boss Labs,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,false,High,Security,Storage should have private endpoints enabled,,https://learn.microsoft.com/en-us/azure/storage/common/storage-private-endpoints,st-004
f2e4cd19-7c93-4a22-a9b3-df34a6e7c0af,Boss Labs,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,false,Medium,Disaster Recovery,Storage Account should have soft delete enabled,,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/storage-accounts/reliability,st-011
f2e4cd19-7c93-4a22-a9b3-df34a6e7c0af,Boss Labs,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,false,Low,Disaster Recovery,Storage Account should have inmutable storage versioning enabled,,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/storage-accounts/reliability,st-010
f2e4cd19-7c93-4a22-a9b3-df34a6e7c0af,Boss Labs,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,false,Low,Security,Storage Account should enforce TLS >= 1.2,,https://learn.microsoft.com/en-us/azure/storage/common/transport-layer-security-configure-minimum-version?tabs=portal,st-009
f2e4cd19-7c93-4a22-a9b3-df34a6e7c0af,Boss Labs,GlobalAI-Spain,northeurope,Microsoft.Sql/servers/databases,globalai-db,false,Low,Governance,SQL Database should have tags,,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-resources?tabs=json,sqldb-007
f2e4cd19-7c93-4a22-a9b3-df34a6e7c0af,Boss Labs,GlobalAI-Spain,northeurope,Microsoft.Sql/servers/databases,globalai-db,false,Low,Governance,SQL Database Name should comply with naming conventions,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations,sqldb-006
f2e4cd19-7c93-4a22-a9b3-df34a6e7c0af,Boss Labs,GlobalAI-Spain,northeurope,Microsoft.Sql/servers/databases,globalai-db,false,High,High Availability,SQL Database should have availability zones enabled,,,sqldb-002
